"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000242419.5",45.2125422672911,1.81907496972625,0.302985577045793,6.0038335404042,1.92712278153444e-09,1.38955188162541e-05
"ENSG00000259417.3",332.546018145323,1.48885648771082,0.243968585510988,6.10265655552511,1.04319845031501e-09,1.38955188162541e-05
"ENSG00000167244.21",64.5450271501653,-1.86356676742705,0.366394771089863,-5.08622642698682,3.6525795257057e-07,0.000676113246771911
"ENSG00000101638.14",328.463139116315,1.05812320496486,0.212729395181235,4.97403381447771,6.55738630672839e-07,0.00105071186588145
"ENSG00000107518.18",81.5233129151572,1.75634829690409,0.364791868974252,4.81465856638393,1.47451781303591e-06,0.00163569395244545
"ENSG00000107147.14",75.4768653741848,-1.04938488369158,0.222831289874934,-4.709324638746,2.48538941316143e-06,0.0025601286233715
"ENSG00000137809.17",400.482857443705,-1.05718255181298,0.228820296863858,-4.62014325784211,3.83475171303009e-06,0.00320059394704799
"ENSG00000152377.14",436.664210005852,-1.36519493657858,0.296031989871601,-4.61164665741263,3.99491651389389e-06,0.00320059394704799
"ENSG00000280213.1",35.2678992989839,-1.92999962703016,0.425576928511524,-4.53501940008925,5.75981909162562e-06,0.00437170269054384
"ENSG00000107295.10",136.239484662826,1.22983806788363,0.278582503368419,4.41462781407058,1.01183920088514e-05,0.00583669324638582
"ENSG00000246985.8",91.5498440000755,1.04195786095368,0.235658469589184,4.42147427491187,9.80297370334269e-06,0.00583669324638582
"ENSG00000279041.1",34.1091155783542,1.04128080338762,0.233917368713454,4.45148989625982,8.52765460023492e-06,0.00583669324638582
"ENSG00000131398.15",100.892484443684,-1.11210349019116,0.256043752800491,-4.34341192873279,1.40286732377467e-05,0.00722162486630832
"ENSG00000243056.2",47.4483844996287,1.24049627472145,0.288283473058221,4.30304332593817,1.68467889984465e-05,0.00722162486630832
"ENSG00000287047.1",68.0568932968476,1.39096923517341,0.325334101444047,4.27551009561976,1.90700158665775e-05,0.00785739139462611
"ENSG00000205746.9",64.4465322424784,-1.11246130425061,0.266062516103647,-4.18120267575476,2.89971246167489e-05,0.00995636985947944
"ENSG00000156466.10",35.0873222784742,-1.55514280816518,0.374265913066636,-4.15518152701311,3.25029386326893e-05,0.0106528381368639
"ENSG00000270906.1",34.7724427087337,2.79353218087835,0.676840085214911,4.1273149181041,3.67023616505671e-05,0.0117618834969517
"ENSG00000136944.19",35.5728491687598,-1.52379475964946,0.373293165173061,-4.08203230547502,4.46435892408036e-05,0.0139957652269919
"ENSG00000253570.1",25.451031955994,2.97506305442153,0.738307908762434,4.02956953205119,5.58790858567806e-05,0.0167881728570965
"ENSG00000224389.9",122.22463156166,-1.19516056277996,0.30627906076903,-3.90219481468649,9.53243863775812e-05,0.024117069753528
"ENSG00000089199.10",47.7237106346403,-1.14547945639875,0.29535860254817,-3.8782667798272,0.000105203314597051,0.0257141864373571
"ENSG00000118137.10",365.644245638574,1.17152371306474,0.303974368854892,3.85402136857135,0.000116193447643726,0.0267029448710434
"ENSG00000178075.20",40.7889622478767,-1.4637719726041,0.383699413760291,-3.81489238740033,0.0001362422919915,0.0284746390262235
"ENSG00000182492.16",8707.69415037068,-1.05735830617533,0.276702774932916,-3.82127828834271,0.000132761737019493,0.0284746390262235
"ENSG00000169184.6",356.135498500379,-1.09008080667995,0.286091938466444,-3.81024649811236,0.000138828301678173,0.0286006134071563
"ENSG00000183098.11",77.4036890267114,-1.36268550220343,0.361480391093331,-3.76973560884412,0.000163420573425931,0.032731779019102
"ENSG00000160013.9",129.023662888013,-1.00442741380323,0.268415939394904,-3.7420557663883,0.000182520997246586,0.0337453243755515
"ENSG00000091986.16",3758.24582249804,-1.16606193056078,0.314141559953825,-3.71189959944228,0.000205709588695403,0.0350638761108423
"ENSG00000272789.1",47.8862984992234,-1.03384848111791,0.27851651525774,-3.71198268139032,0.000205642060996924,0.0350638761108423
"ENSG00000286401.1",19.0399693301267,1.40765171231039,0.378735410091199,3.71671535009474,0.0002018296156189,0.0350638761108423
"ENSG00000169181.13",42.7322936421558,2.24609065124308,0.607521803518577,3.69713586941971,0.000218045654523241,0.0364992641103759
"ENSG00000065609.14",86.3095591827643,2.72124648362311,0.749081357929974,3.63277827543734,0.000280385936647217,0.0421192249207242
"ENSG00000151632.17",174.012512241752,-1.22294107791763,0.340583160963843,-3.5907267830175,0.000329757166358004,0.0470834464955325
"ENSG00000174672.16",26.7299529541253,-1.13380017611273,0.316985441529238,-3.57682097525654,0.000347798191098963,0.0486935286186225
