"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000129993.15",277.533586489372,-0.767256051662509,0.129433758068876,-5.92778934267078,3.07040027255284e-09,1.47594141101615e-05
"ENSG00000142102.16",392.326902248229,-0.688936944478519,0.117740278497999,-5.85132762778566,4.87664518766094e-09,1.75815250628146e-05
"ENSG00000167173.19",509.024824963834,-0.594448356665772,0.110250111259385,-5.39181638798727,6.97490188952518e-08,0.000201170120297685
"ENSG00000167244.21",64.5450271501653,-1.86356676742705,0.366394771089863,-5.08622642698682,3.6525795257057e-07,0.000676113246771911
"ENSG00000189067.13",924.992908108225,-0.718553362673172,0.141414297910897,-5.08119315577213,3.75071491170882e-07,0.000676113246771911
"ENSG00000274070.2",347.053384215817,-0.677722657048758,0.137541154227105,-4.92741725818088,8.33236901372215e-07,0.00120161093546887
"ENSG00000111077.18",4959.24099605949,-0.542559988889063,0.110863576748634,-4.89394267081275,9.88356408913104e-07,0.0012062154398963
"ENSG00000127954.13",377.677532201288,-0.793683488166704,0.162277310099861,-4.89090857913712,1.00371578106619e-06,0.0012062154398963
"ENSG00000107147.14",75.4768653741848,-1.04938488369158,0.222831289874934,-4.709324638746,2.48538941316143e-06,0.0025601286233715
"ENSG00000137809.17",400.482857443705,-1.05718255181298,0.228820296863858,-4.62014325784211,3.83475171303009e-06,0.00320059394704799
"ENSG00000152377.14",436.664210005852,-1.36519493657858,0.296031989871601,-4.61164665741263,3.99491651389389e-06,0.00320059394704799
"ENSG00000280213.1",35.2678992989839,-1.92999962703016,0.425576928511524,-4.53501940008925,5.75981909162562e-06,0.00437170269054384
"ENSG00000113916.18",1325.55122984205,-0.60380861188148,0.136299396800774,-4.43001675762407,9.42257660057636e-06,0.00583669324638582
"ENSG00000123095.6",467.45004012795,-0.628569701322678,0.141885976266616,-4.43010449560949,9.41874378262828e-06,0.00583669324638582
"ENSG00000196557.13",266.521827707406,-0.880020192959606,0.197658159561227,-4.45223306193444,8.49818532964893e-06,0.00583669324638582
"ENSG00000131398.15",100.892484443684,-1.11210349019116,0.256043752800491,-4.34341192873279,1.40286732377467e-05,0.00722162486630832
"ENSG00000198873.12",641.996831546089,-0.56248897134438,0.130301592742503,-4.31682345169754,1.5829066317698e-05,0.00722162486630832
"ENSG00000205517.13",235.345385804056,-0.908322527691188,0.211136870415577,-4.30205546716379,1.6922093410803e-05,0.00722162486630832
"ENSG00000266074.10",351.727757143484,-0.686248392731689,0.158532722999222,-4.3287491676722,1.49958607874994e-05,0.00722162486630832
"ENSG00000185650.10",2947.21780950625,-0.665645425126744,0.156144513539604,-4.26300873490447,2.01692631059796e-05,0.00788770965964754
"ENSG00000215788.11",240.780633318046,-0.518300315829164,0.121602398753832,-4.26225404384,2.02375187162443e-05,0.00788770965964754
"ENSG00000024422.12",2320.17186191512,-0.616751544172659,0.145092556799194,-4.25074557770895,2.13060082700937e-05,0.00808563013850056
"ENSG00000148400.12",875.421028267641,-0.816402081962534,0.19295802149095,-4.23098286173516,2.3267240131036e-05,0.00860350948537615
"ENSG00000072071.16",491.054334000627,-0.65134869970047,0.155346304344233,-4.19288184839687,2.75432915449956e-05,0.00993004518425955
"ENSG00000110400.11",282.601068205557,-0.972454893414084,0.232366145002995,-4.18501108843352,2.85152181393705e-05,0.00995636985947944
"ENSG00000205746.9",64.4465322424784,-1.11246130425061,0.266062516103647,-4.18120267575476,2.89971246167489e-05,0.00995636985947944
"ENSG00000130702.15",2181.70235587845,-0.88940222446844,0.213022774649603,-4.17515087732473,2.97788622836766e-05,0.0099869993719279
"ENSG00000156466.10",35.0873222784742,-1.55514280816518,0.374265913066636,-4.15518152701311,3.25029386326893e-05,0.0106528381368639
"ENSG00000136944.19",35.5728491687598,-1.52379475964946,0.373293165173061,-4.08203230547502,4.46435892408036e-05,0.0139957652269919
"ENSG00000074181.9",2137.99189930568,-0.924675354814236,0.2300963659912,-4.01864388788131,5.85340596620321e-05,0.0168829895654659
"ENSG00000266714.9",1223.16336896741,-0.703605264144997,0.17545184746184,-4.01024710952689,6.0655234500092e-05,0.0171511595436437
"ENSG00000090006.18",7309.07174635693,-0.848209179863199,0.216881554034057,-3.91093278375349,9.19403583389815e-05,0.0236762840644009
"ENSG00000224389.9",122.22463156166,-1.19516056277996,0.30627906076903,-3.90219481468649,9.53243863775812e-05,0.024117069753528
"ENSG00000113721.14",2384.01673635632,-0.579491300493701,0.149011248204852,-3.88890978013318,0.000100695538833313,0.0250367304399173
"ENSG00000089199.10",47.7237106346403,-1.14547945639875,0.29535860254817,-3.8782667798272,0.000105203314597051,0.0257141864373571
"ENSG00000197872.11",109.087028192053,-0.663505970066862,0.171492735008625,-3.86900337226234,0.000109281130867378,0.0258351342334172
"ENSG00000103249.18",532.404726125456,-0.46118401534206,0.120581654570573,-3.82466152902341,0.000130951867073137,0.0284746390262235
"ENSG00000146083.12",933.781851465536,-0.469260985417791,0.122669410673164,-3.82541159073531,0.00013055378134105,0.0284746390262235
"ENSG00000178075.20",40.7889622478767,-1.4637719726041,0.383699413760291,-3.81489238740033,0.0001362422919915,0.0284746390262235
"ENSG00000182492.16",8707.69415037068,-1.05735830617533,0.276702774932916,-3.82127828834271,0.000132761737019493,0.0284746390262235
"ENSG00000169184.6",356.135498500379,-1.09008080667995,0.286091938466444,-3.81024649811236,0.000138828301678173,0.0286006134071563
"ENSG00000184371.14",547.257636959476,-0.61404947325225,0.162029596414199,-3.7897364854415,0.00015080718049025,0.0306308499978858
"ENSG00000183098.11",77.4036890267114,-1.36268550220343,0.361480391093331,-3.76973560884412,0.000163420573425931,0.032731779019102
"ENSG00000166987.15",1103.89982460468,-0.536561035986319,0.142489517800725,-3.7656175995817,0.000166137902964757,0.0328202013514351
"ENSG00000160013.9",129.023662888013,-1.00442741380323,0.268415939394904,-3.7420557663883,0.000182520997246586,0.0337453243755515
"ENSG00000196924.19",8031.85742057592,-0.87433312026904,0.233396354947127,-3.74613014186579,0.000179583451701096,0.0337453243755515
"ENSG00000076928.18",609.615506580467,-0.466145322158648,0.125621354280981,-3.71071721704264,0.000206672870773288,0.0350638761108423
"ENSG00000091986.16",3758.24582249804,-1.16606193056078,0.314141559953825,-3.71189959944228,0.000205709588695403,0.0350638761108423
