"gene_symbol","gene_name","ensembl_id","log2FoldChange","padj","baseMean"
"PCDHGC4","protocadherin gamma subfamily C, 4","ENSG00000242419",1.81907496972625,1.38955188162541e-05,45.2125422672911
"CTXND1","cortexin domain containing 1","ENSG00000259417",1.48885648771082,1.38955188162541e-05,332.546018145323
"IGF2","insulin like growth factor 2","ENSG00000167244",-1.86356676742705,0.000676113246771911,64.5450271501653
"ST8SIA5","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5","ENSG00000101638",1.05812320496486,0.00105071186588145,328.463139116315
"ATRNL1","attractin like 1","ENSG00000107518",1.75634829690409,0.00163569395244545,81.5233129151572
"KCNT1","potassium sodium-activated channel subfamily T member 1","ENSG00000107147",-1.04938488369158,0.0025601286233715,75.4768653741848
"ITGA11","integrin subunit alpha 11","ENSG00000137809",-1.05718255181298,0.00320059394704799,400.482857443705
"SPOCK1","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1","ENSG00000152377",-1.36519493657858,0.00320059394704799,436.664210005852
"UCKL1-AS1","UCKL1 antisense RNA 1","ENSG00000280213",-1.92999962703016,0.00437170269054384,35.2678992989839
"SH3GL2","SH3 domain containing GRB2 like 2, endophilin A1","ENSG00000107295",1.22983806788363,0.00583669324638582,136.239484662826
"SOCS2-AS1","SOCS2 antisense RNA 1","ENSG00000246985",1.04195786095368,0.00583669324638582,91.5498440000755
"","","ENSG00000279041",1.04128080338762,0.00583669324638582,34.1091155783542
"KCNC3","potassium voltage-gated channel subfamily C member 3","ENSG00000131398",-1.11210349019116,0.00722162486630832,100.892484443684
"EIF4EBP3","eukaryotic translation initiation factor 4E binding protein 3","ENSG00000243056",1.24049627472145,0.00722162486630832,47.4483844996287
"LOC105378473","uncharacterized LOC105378473","ENSG00000287047",1.39096923517341,0.00785739139462611,68.0568932968476
"PKD1P4","polycystin 1, transient receptor potential channel interacting pseudogene 4","ENSG00000205746",-1.11246130425061,0.00995636985947944,64.4465322424784
"GDF6","growth differentiation factor 6","ENSG00000156466",-1.55514280816518,0.0106528381368639,35.0873222784742
"MTND4P35","MT-ND4 pseudogene 35","ENSG00000270906",2.79353218087835,0.0117618834969517,34.7724427087337
"LMX1B","LIM homeobox transcription factor 1 beta","ENSG00000136944",-1.52379475964946,0.0139957652269919,35.5728491687598
"","","ENSG00000253570",2.97506305442153,0.0167881728570965,25.451031955994
"C4B","complement C4B (Chido/Rodgers blood group)","ENSG00000224389",-1.19516056277996,0.024117069753528,122.22463156166
"CHGB","chromogranin B","ENSG00000089199",-1.14547945639875,0.0257141864373571,47.7237106346403
"APOA1","apolipoprotein A1","ENSG00000118137",1.17152371306474,0.0267029448710434,365.644245638574
"GRAMD1C","GRAM domain containing 1C","ENSG00000178075",-1.4637719726041,0.0284746390262235,40.7889622478767
"BGN","biglycan","ENSG00000182492",-1.05735830617533,0.0284746390262235,8707.69415037068
"MN1","MN1 proto-oncogene, transcriptional regulator","ENSG00000169184",-1.09008080667995,0.0286006134071563,356.135498500379
"GPC6","glypican 6","ENSG00000183098",-1.36268550220343,0.032731779019102,77.4036890267114
"PTGIR","prostaglandin I2 receptor","ENSG00000160013",-1.00442741380323,0.0337453243755515,129.023662888013
"CCDC80","coiled-coil domain containing 80","ENSG00000091986",-1.16606193056078,0.0350638761108423,3758.24582249804
"","","ENSG00000272789",-1.03384848111791,0.0350638761108423,47.8862984992234
"","","ENSG00000286401",1.40765171231039,0.0350638761108423,19.0399693301267
"GSG1L","GSG1 like","ENSG00000169181",2.24609065124308,0.0364992641103759,42.7322936421558
"SNAP91","synaptosome associated protein 91","ENSG00000065609",2.72124648362311,0.0421192249207242,86.3095591827643
"AKR1C2","aldo-keto reductase family 1 member C2","ENSG00000151632",-1.22294107791763,0.0470834464955325,174.012512241752
"BRSK2","BR serine/threonine kinase 2","ENSG00000174672",-1.13380017611273,0.0486935286186225,26.7299529541253
