"gene_symbol","gene_name","ensembl_id","log2FoldChange","padj","baseMean"
"IGF2","insulin like growth factor 2","ENSG00000167244",-1.86356676742705,0.000676113246771911,64.5450271501653
"KCNT1","potassium sodium-activated channel subfamily T member 1","ENSG00000107147",-1.04938488369158,0.0025601286233715,75.4768653741848
"ITGA11","integrin subunit alpha 11","ENSG00000137809",-1.05718255181298,0.00320059394704799,400.482857443705
"SPOCK1","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1","ENSG00000152377",-1.36519493657858,0.00320059394704799,436.664210005852
"UCKL1-AS1","UCKL1 antisense RNA 1","ENSG00000280213",-1.92999962703016,0.00437170269054384,35.2678992989839
"KCNC3","potassium voltage-gated channel subfamily C member 3","ENSG00000131398",-1.11210349019116,0.00722162486630832,100.892484443684
"PKD1P4","polycystin 1, transient receptor potential channel interacting pseudogene 4","ENSG00000205746",-1.11246130425061,0.00995636985947944,64.4465322424784
"GDF6","growth differentiation factor 6","ENSG00000156466",-1.55514280816518,0.0106528381368639,35.0873222784742
"LMX1B","LIM homeobox transcription factor 1 beta","ENSG00000136944",-1.52379475964946,0.0139957652269919,35.5728491687598
"C4B","complement C4B (Chido/Rodgers blood group)","ENSG00000224389",-1.19516056277996,0.024117069753528,122.22463156166
"CHGB","chromogranin B","ENSG00000089199",-1.14547945639875,0.0257141864373571,47.7237106346403
"GRAMD1C","GRAM domain containing 1C","ENSG00000178075",-1.4637719726041,0.0284746390262235,40.7889622478767
"BGN","biglycan","ENSG00000182492",-1.05735830617533,0.0284746390262235,8707.69415037068
"MN1","MN1 proto-oncogene, transcriptional regulator","ENSG00000169184",-1.09008080667995,0.0286006134071563,356.135498500379
"GPC6","glypican 6","ENSG00000183098",-1.36268550220343,0.032731779019102,77.4036890267114
"PTGIR","prostaglandin I2 receptor","ENSG00000160013",-1.00442741380323,0.0337453243755515,129.023662888013
"CCDC80","coiled-coil domain containing 80","ENSG00000091986",-1.16606193056078,0.0350638761108423,3758.24582249804
"","","ENSG00000272789",-1.03384848111791,0.0350638761108423,47.8862984992234
"AKR1C2","aldo-keto reductase family 1 member C2","ENSG00000151632",-1.22294107791763,0.0470834464955325,174.012512241752
"BRSK2","BR serine/threonine kinase 2","ENSG00000174672",-1.13380017611273,0.0486935286186225,26.7299529541253
