"gene_symbol","gene_name","ensembl_id","log2FoldChange","padj","baseMean"
"PCDHGC4","protocadherin gamma subfamily C, 4","ENSG00000242419",1.81907496972625,1.38955188162541e-05,45.2125422672911
"CTXND1","cortexin domain containing 1","ENSG00000259417",1.48885648771082,1.38955188162541e-05,332.546018145323
"ST8SIA5","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5","ENSG00000101638",1.05812320496486,0.00105071186588145,328.463139116315
"ATRNL1","attractin like 1","ENSG00000107518",1.75634829690409,0.00163569395244545,81.5233129151572
"SH3GL2","SH3 domain containing GRB2 like 2, endophilin A1","ENSG00000107295",1.22983806788363,0.00583669324638582,136.239484662826
"SOCS2-AS1","SOCS2 antisense RNA 1","ENSG00000246985",1.04195786095368,0.00583669324638582,91.5498440000755
"","","ENSG00000279041",1.04128080338762,0.00583669324638582,34.1091155783542
"EIF4EBP3","eukaryotic translation initiation factor 4E binding protein 3","ENSG00000243056",1.24049627472145,0.00722162486630832,47.4483844996287
"LOC105378473","uncharacterized LOC105378473","ENSG00000287047",1.39096923517341,0.00785739139462611,68.0568932968476
"MTND4P35","MT-ND4 pseudogene 35","ENSG00000270906",2.79353218087835,0.0117618834969517,34.7724427087337
"","","ENSG00000253570",2.97506305442153,0.0167881728570965,25.451031955994
"APOA1","apolipoprotein A1","ENSG00000118137",1.17152371306474,0.0267029448710434,365.644245638574
"","","ENSG00000286401",1.40765171231039,0.0350638761108423,19.0399693301267
"GSG1L","GSG1 like","ENSG00000169181",2.24609065124308,0.0364992641103759,42.7322936421558
"SNAP91","synaptosome associated protein 91","ENSG00000065609",2.72124648362311,0.0421192249207242,86.3095591827643
