"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002181","cytoplasmic translation",153,0.610965027003695,2.66147607126226,1e-10,2.60666666666667e-08,2.07368421052632e-08,3049,"tags=65%, list=23%, signal=51%","6187/8531/6142/6133/6208/6137/6223/6188/23521/6155/6193/51121/6157/6141/6203/6201/6160/6234/25873/6231/6205/6159/4904/6161/7311/6134/6132/6169/8663/8892/6130/6209/6168/3921/6165/6206/4733/6175/8667/10399/6143/6181/8665/11224/8894/6189/6202/6158/6191/6194/6232/6224/220717/6222/51386/6233/6235/6124/6128/10605/6207/57409/6129/6227/6167/6164/2197/6152/6136/6176/6218/6156/8666/6135/6210/8664/6217/6138/6229/1819/9045/6122/6125/6170/27335/6146/6171/51389/6144/8669/9349/6147/8890/1968/6154/1939/2475/4736/3646"
"GO:0032543","mitochondrial translation",127,0.619126675185305,2.6422187534907,1e-10,2.60666666666667e-08,2.07368421052632e-08,3050,"tags=60%, list=23%, signal=47%","26589/64975/84769/90480/116541/6183/29093/54998/65003/55168/115416/64976/64949/84300/84881/64979/51069/118487/78988/10102/55052/6150/51023/64928/6182/51204/122704/28998/51335/3396/51116/65005/51264/51081/708/26024/9553/28958/92170/51253/64981/55278/5018/28973/29074/11222/10573/29088/65993/54460/51073/124995/84545/64960/7284/51258/57129/54534/79590/128308/26995/84311/285367/51642/63875/4528/64983/7818/64969/51649/54516/3035/57038/54948/64432/65008"
"GO:0097250","mitochondrial respirasome assembly",105,0.615250793223234,2.54034791950424,1e-10,2.60666666666667e-08,2.07368421052632e-08,3352,"tags=68%, list=25%, signal=51%","55969/284184/91647/1346/4713/283951/10063/51287/6834/513/192286/84300/4695/4728/1347/4716/84987/90871/4702/51295/25915/4722/51204/54539/84275/4725/389203/28958/84233/4696/51751/4700/64756/4710/7386/4694/5018/79064/91942/4717/790955/55744/4712/9167/4707/4718/4720/729515/55967/4709/374291/137682/55101/4706/4708/57001/28976/54968/4715/4711/79133/29090/617/6341/25880/4724/55863/29078/4705/4704/4714"
"GO:0006119","oxidative phosphorylation",134,0.587773193236272,2.51956442728629,1e-10,2.60666666666667e-08,2.07368421052632e-08,3401,"tags=65%, list=25%, signal=49%","65990/1346/4713/27089/6622/513/400916/1351/51142/1329/1340/84300/4695/4728/1347/30968/4716/4702/11315/4722/514/1337/9551/1350/388753/1537/7388/29796/54539/65018/84275/4725/93974/4726/1327/4696/4700/4710/7386/4694/4723/4717/790955/9555/509/10476/4712/4731/9167/26471/522/7384/4707/6390/4718/4720/55967/440567/506/4709/374291/4706/4708/7381/1716/891/9377/1345/4715/10975/57017/1349/29103/4711/23479/10632/4724/10105/84277/4697/4705/246269/4704/4714/54205/27069/6391"
"GO:0042773","ATP synthesis coupled electron transport",92,0.624666910951756,2.51262344044899,1e-10,2.60666666666667e-08,2.07368421052632e-08,3401,"tags=74%, list=25%, signal=56%","1346/4713/27089/6622/1351/51142/1329/1340/4695/4728/1347/4716/4702/11315/4722/1337/1350/388753/1537/7388/29796/65018/4725/4726/1327/4696/4700/4710/7386/4694/4723/4717/790955/4712/4731/9167/7384/4707/6390/4718/4720/55967/440567/4709/374291/4706/4708/7381/1716/891/9377/1345/4715/10975/57017/1349/29103/4711/23479/4724/4697/4705/246269/4704/4714/54205/27069/6391"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",92,0.624666910951756,2.51262344044899,1e-10,2.60666666666667e-08,2.07368421052632e-08,3401,"tags=74%, list=25%, signal=56%","1346/4713/27089/6622/1351/51142/1329/1340/4695/4728/1347/4716/4702/11315/4722/1337/1350/388753/1537/7388/29796/65018/4725/4726/1327/4696/4700/4710/7386/4694/4723/4717/790955/4712/4731/9167/7384/4707/6390/4718/4720/55967/440567/4709/374291/4706/4708/7381/1716/891/9377/1345/4715/10975/57017/1349/29103/4711/23479/4724/4697/4705/246269/4704/4714/54205/27069/6391"
"GO:0140053","mitochondrial gene expression",165,0.562623053042448,2.49966250477283,1e-10,2.60666666666667e-08,2.07368421052632e-08,3115,"tags=51%, list=23%, signal=40%","26589/64975/84769/90480/116541/6183/29093/54998/65003/55168/400916/115416/64976/64949/84300/84881/64979/51069/118487/78988/10102/55052/6150/51023/64928/6182/51204/122704/28998/51335/3396/51116/65005/51264/51081/708/84275/26024/9553/28958/92170/51253/64981/55278/5018/28973/29074/11222/10573/29088/65993/54460/80298/51073/124995/84545/64960/3028/7284/51258/57129/54534/79590/128308/26995/84311/285367/51642/63875/4528/57215/64983/7818/64969/51649/54516/3035/57038/79675/51250/54948/64432/65008/10922"
"GO:0030198","extracellular matrix organization",253,-0.562418288948075,-2.3234207668804,1e-10,2.60666666666667e-08,2.07368421052632e-08,2234,"tags=43%, list=17%, signal=36%","5212/3249/7046/649/5352/2022/7040/140766/23127/83872/340267/23187/650/60681/55959/170689/55512/85301/83716/4016/8434/10609/57190/81031/255743/3913/7837/861/1298/1305/1294/3673/1281/84695/1513/54507/4811/285590/9806/602/81794/2303/6662/133584/1842/9719/4060/1295/4921/10631/1291/8516/84171/4325/11093/80781/1289/1277/3491/55612/23768/1306/2006/4327/1284/1311/90993/9509/11173/25903/4323/89932/1278/64386/50509/10516/4147/1545/84168/4313/1282/11117/10218/4035/84627/5156/1303/4851/4239/8425/9507/25890/4015/2331/4326/4629/1805/7373/11096/6423/151887/3037/1296/165/7177/2192/7148/64093"
"GO:0043062","extracellular structure organization",253,-0.562418288948075,-2.3234207668804,1e-10,2.60666666666667e-08,2.07368421052632e-08,2234,"tags=43%, list=17%, signal=36%","5212/3249/7046/649/5352/2022/7040/140766/23127/83872/340267/23187/650/60681/55959/170689/55512/85301/83716/4016/8434/10609/57190/81031/255743/3913/7837/861/1298/1305/1294/3673/1281/84695/1513/54507/4811/285590/9806/602/81794/2303/6662/133584/1842/9719/4060/1295/4921/10631/1291/8516/84171/4325/11093/80781/1289/1277/3491/55612/23768/1306/2006/4327/1284/1311/90993/9509/11173/25903/4323/89932/1278/64386/50509/10516/4147/1545/84168/4313/1282/11117/10218/4035/84627/5156/1303/4851/4239/8425/9507/25890/4015/2331/4326/4629/1805/7373/11096/6423/151887/3037/1296/165/7177/2192/7148/64093"
"GO:0045229","external encapsulating structure organization",253,-0.562418288948075,-2.3234207668804,1e-10,2.60666666666667e-08,2.07368421052632e-08,2234,"tags=43%, list=17%, signal=36%","5212/3249/7046/649/5352/2022/7040/140766/23127/83872/340267/23187/650/60681/55959/170689/55512/85301/83716/4016/8434/10609/57190/81031/255743/3913/7837/861/1298/1305/1294/3673/1281/84695/1513/54507/4811/285590/9806/602/81794/2303/6662/133584/1842/9719/4060/1295/4921/10631/1291/8516/84171/4325/11093/80781/1289/1277/3491/55612/23768/1306/2006/4327/1284/1311/90993/9509/11173/25903/4323/89932/1278/64386/50509/10516/4147/1545/84168/4313/1282/11117/10218/4035/84627/5156/1303/4851/4239/8425/9507/25890/4015/2331/4326/4629/1805/7373/11096/6423/151887/3037/1296/165/7177/2192/7148/64093"
